ITERACAO,TEMPO (s),DESLOCAMENTO (m)
0,.000000000000000,.000000000000000
1000,.1718635422101172E-01,-.2154077549626041E-02
2000,.3437270844202343E-01,-.8258154442630226E-02
3000,.5155906266303514E-01,-.1756415058689477E-01
4000,.6874541688404687E-01,-.2911315446901762E-01
5000,.8593177110505858E-01,-.4182525938211338E-01
6000,.1031181253260703,-.5459927940880779E-01
7000,.1203044795470820,-.6641407121154293E-01
8000,.1374908337680937,-.7641594978152499E-01
9000,.1546771879891054,-.8398040820260221E-01
10000,.1718635422101172,-.8874375491232583E-01
11000,.1890498964311289,-.9060606543393408E-01
12000,.2062362506521406,-.8970959507338372E-01
13000,.2234226048731523,-.8639785620506103E-01
14000,.2406089590941640,-.8116141006365624E-01
15000,.2577953133151757,-.7457723795005386E-01
16000,.2749816675361875,-.6724872107291707E-01
17000,.2921680217571991,-.5975239418650526E-01
18000,.3093543759782109,-.5259595188455631E-01
19000,.3265407301992226,-.4618995783109413E-01
20000,.3437270844202343,-.4083373387873401E-01
21000,.3609134386412460,-.3671420808517881E-01
22000,.3780997928622578,-.3391519991057042E-01
23000,.3952861470832695,-.3243380763060342E-01
24000,.4124725013042811,-.3220029114200224E-01
25000,.4296588555252929,-.3309809730019056E-01
26000,.4468452097463046,-.3498135966920218E-01
27000,.4640315639673163,-.3768816791077632E-01
28000,.4812179181883280,-.4104896949449849E-01
29000,.4984042724093398,-.4489047111296064E-01
30000,.5155906266303515,-.4903621005693088E-01
31000,.5327769808513632,-.5330546889231341E-01
32000,.5499633350723749,-.5751236203493146E-01
33000,.5671496892933866,-.6146673527998112E-01
34000,.5843360435143983,-.6497804324754584E-01
35000,.6015223977354101,-.6786269768532230E-01
36000,.6187087519564217,-.6995462702513780E-01
37000,.6358951061774335,-.7111807522985047E-01
38000,.6530814603984452,-.7126110461842651E-01
39000,.6702678146194569,-.7034793613394809E-01
40000,.6874541688404686,-.6840820844976733E-01
41000,.7046405230614803,-.6554147112496968E-01
42000,.7218268772824921,-.6191571338747866E-01
43000,.7390132315035037,-.5775940255526370E-01
44000,.7561995857245155,-.5334727426967110E-01
45000,.7733859399455272,-.4898087996341399E-01
46000,.7905722941665390,-.4496555700418212E-01
47000,.8077586483875506,-.4158596104190585E-01
48000,.8249450026085623,-.3908253033261284E-01
49000,.8421313568295741,-.3763121198855115E-01
